# Originator: Lucas Merckelbach
# Dataset: German Bight filtered T and C
# Number of profiles: 36
# Creation time: Wed Oct 23 15:44:58 2013
#            time   conductivity    temperature       pressure          pitch           roll          speed profile_number
#               s          mS/cm              C           dbar            rad            rad            m/s              -
1376311185.63941145    43.73619380    18.11202144     5.96000016     0.42151105    -0.03963589     0.32598697              1
1376311187.64697266    43.73927662    18.11314266     5.61999977     0.42713506    -0.03642217     0.36625204              1
1376311189.64559937    43.74233493    18.11428828     5.23000002     0.43276136    -0.03320714     0.40653354              1
1376311191.67883301    43.74644881    18.11780086     4.88000005     0.45246033    -0.02498681     0.37205862              1
1376311193.63900757    43.75000283    18.12117644     4.51999992     0.47168642    -0.01697594     0.33771017              1
1376311195.67127180    43.75091613    18.11971983     4.16000009     0.46977869    -0.02278065     0.36172889              1
1376311197.64643049    43.75083184    18.11877542     3.68999988     0.46546609    -0.02894150     0.38738686              1
1376311199.64086914    43.75234832    18.12031593     3.24999988     0.44762787    -0.02590989     0.38951363              1
1376311201.63935041    43.75088450    18.11861488     2.93000013     0.41552332    -0.01026921     0.35619516              1
1376311203.65433455    43.74902757    18.11577546     2.56000012     0.41225710     0.00372206     0.31375338              1
1376311205.64086914    43.74970339    18.11499442     2.28000000     0.46591307     0.01493375     0.25180422              1
1376311207.64157820    43.74882192    18.11326842     2.06000000     0.51345698     0.02339685     0.21194682              1
1376311209.65768433    43.74950168    18.11380162     1.64000005     0.52466007     0.01779530     0.28016663              1
1376311211.64788818    43.75129401    18.11704963     1.18000001     0.53300676     0.01237454     0.34765636              1
1376311213.68295288    43.75272691    18.11848440     0.74000001     0.30854157     0.02493789     0.31223230              1
1376311215.64099121    43.75245134    18.11659863     0.34000002     0.09296062     0.03700399     0.27821032              1
1376311217.64725447    43.75050850    18.11309694     0.22000000     0.01048051     0.02087066     0.20905764              1
1376311219.64608765    43.75105129    18.11276151     0.17999999    -0.04149011     0.00505352     0.15019500              1
1376311221.63977051    43.75163660    18.11346900     0.14000000    -0.09380493    -0.01112322     0.08379667              1
1376311225.64624739    43.75141613    18.11137086     0.16000001    -0.10594919    -0.01719535     0.00341465              2
1376311227.66333723    43.75206429    18.11131065     0.24000000    -0.10148221    -0.00179283     0.00000000              2
1376311229.63861799    43.75377480    18.11328530     0.35000000    -0.09584851     0.01591309     0.00000000              2
